rep,n,runtime
1,2,4.161311388015747
1,3,11.633972644805908
1,4,12.868263721466064
1,5,15.745532751083374
1,6,19.774477243423462
1,8,26.753652811050415
1,10,40.646772384643555
1,12,54.41803598403931
1,16,84.6794764995575
1,20,199.1376347541809
1,25,250.9927129745483
1,32,369.47823452949524
1,40,506.57519817352295
1,50,802.898907661438
1,64,1262.3233301639557
1,80,1443.9149730205536
1,101,2310.720042705536
1,128,3761.754786729812
2,2,4.222856283187866
2,3,6.145115852355957
2,4,9.27118706703186
2,5,13.517909526824951
2,6,15.083822011947632
2,8,22.557445526123047
2,10,38.07936978340149
2,12,42.40025973320007
2,16,71.43815970420837
2,20,123.58572602272032
2,25,171.9513702392578
2,32,266.70390033721924
2,40,470.8063123226166
2,50,673.2609887123108
2,64,959.4768514633179
2,80,1423.0954191684723
2,101,2285.486647605896
2,128,3710.6383485794067
3,2,2.892458915710449
3,3,5.412317752838135
3,4,7.69677209854126
3,5,10.676001787185669
3,6,15.158703804016113
3,8,19.24209427833557
3,10,38.17500710487366
3,12,43.5401656627655
3,16,76.92129945755005
3,20,121.43286585807802
3,25,165.14780473709106
3,32,351.96289253234863
3,40,560.0183062553406
3,50,781.605797290802
3,64,1140.8116762638092
3,80,1556.828011751175
3,101,2305.2197210788727
3,128,3796.8585920333867
4,2,4.068315267562866
4,3,6.767955541610718
4,4,10.445393562316895
4,5,13.866819143295288
4,6,12.133424520492554
4,8,19.886895895004272
4,10,26.935420274734497
4,12,35.70715355873108
4,16,79.38362002372742
4,20,100.2632269859314
4,25,153.2069456577301
4,32,260.233247756958
4,40,463.01117873191833
4,50,686.1176402568817
4,64,891.910977602005
4,80,1282.5094876289368
4,101,2173.5703241825104
4,128,3651.2315731048584
5,2,4.031429290771484
5,3,7.8894264698028564
5,4,10.105815172195435
5,5,13.730622053146362
5,6,14.271422624588013
5,8,29.62282085418701
5,10,31.76227617263794
5,12,51.084646224975586
5,16,50.0781524181366
5,20,103.51825022697449
5,25,157.53517174720764
5,32,216.30801010131836
5,40,316.4830000400543
5,50,448.9548327922821
5,64,646.1101307868958
5,80,1104.34414601326
5,101,1711.163821697235
5,128,4593.978232622147
6,2,5.48030161857605
6,3,7.877285003662109
6,4,11.19978642463684
6,5,16.683528423309326
6,6,18.421335697174072
6,8,28.03521156311035
6,10,42.016255140304565
6,12,46.769973039627075
6,16,83.69904351234436
6,20,126.84945392608643
6,25,199.6681740283966
6,32,282.46074414253235
6,40,387.44077467918396
6,50,592.0058155059814
6,64,917.9103317260742
6,80,1319.5291392803192
6,101,2155.7617037296295
6,128,3949.4202868938446
7,2,4.93601131439209
7,3,7.394808053970337
7,4,8.689574956893921
7,5,11.413840532302856
7,6,20.343260526657104
7,8,30.581148386001587
7,10,33.63258385658264
7,12,35.87649345397949
7,16,56.475794553756714
7,20,99.15347099304199
7,25,186.9602313041687
7,32,278.28419041633606
