rep,n,runtime
1,2,3.4259719848632812
1,3,9.492340326309204
1,4,9.134448051452637
1,5,14.185776233673096
1,6,13.672759532928467
1,8,21.251859188079834
1,10,30.319309949874878
1,12,43.70056867599487
1,16,63.36887788772584
1,20,108.21181893348694
1,25,150.15571928024292
1,32,246.01449656486514
1,40,382.6715798377991
1,50,664.8866722583771
1,64,983.3539276123046
1,80,1485.4417071342468
1,101,2852.8940784931183
1,128,4543.572102069855
2,2,3.26212215423584
2,3,7.1230387687683105
2,4,9.135881662368774
2,5,14.174773454666138
2,6,15.890665769577026
2,8,20.463127851486206
2,10,36.532055616378784
2,12,39.16274333000183
2,16,76.11294937133789
2,20,116.35024809837341
2,25,152.3896188735962
2,32,284.9976794719696
2,40,405.38957834243774
2,50,613.092000246048
2,64,986.8008573055267
2,80,1692.3198070526123
2,101,2900.7726879119873
2,128,5053.743442773819
3,2,3.925311803817749
3,3,5.5692665576934814
3,4,8.80958890914917
3,5,11.71416163444519
3,6,13.279273271560669
3,8,22.176555633544922
3,10,46.491119146347046
3,12,47.807294845581055
3,16,59.36499571800232
3,20,95.12012052536011
3,25,163.94593691825867
3,32,274.13084626197815
3,40,426.19825863838196
3,50,606.308735370636
3,64,1058.1938846111298
3,80,1533.702435016632
3,101,2699.6739168167114
3,128,4925.270523548126
4,2,2.8754303455352783
4,3,5.064262628555298
4,4,7.39787745475769
4,5,9.226704359054565
4,6,13.884099006652832
4,8,28.306689023971558
4,10,25.763751745224
4,12,46.3253870010376
4,16,86.18332195281982
4,20,122.26414155960083
4,25,166.88797521591187
4,32,229.1731412410736
4,40,422.96757411956787
4,50,652.1980178356171
4,64,1001.6738958358765
4,80,1722.654067516327
4,101,2946.032927274704
4,128,4962.338040113449
5,2,3.7165300846099854
5,3,7.0770263671875
5,4,8.722617864608765
5,5,12.3789541721344
5,6,13.2107675075531
5,8,28.957058906555176
5,10,35.28213572502136
5,12,50.19227743148804
5,16,66.51832628250122
5,20,132.5254340171814
5,25,186.81218481063843
5,32,284.09570574760437
5,40,458.394734621048
5,50,686.0231702327728
5,64,1069.8492674827576
5,80,1538.076414823532
5,101,2871.7385578155518
5,128,4604.598761558533
6,2,5.578802108764648
6,3,6.588863849639893
6,4,9.825763702392578
6,5,16.802802801132202
6,6,15.59917163848877
6,8,25.7613205909729
6,10,44.91971039772034
6,12,53.70848846435547
6,16,65.26872324943542
6,20,132.45359015464783
6,25,177.7930450439453
6,32,304.98348927497864
6,40,433.80575251579285
6,50,658.6180560588837
6,64,1149.870545387268
6,80,1685.9357283115387
6,101,2690.5577046871185
6,128,4716.1722676754
7,2,4.646285772323608
7,3,7.8046910762786865
7,4,10.659510135650635
7,5,12.768691301345825
7,6,17.542319536209106
7,8,27.02814245223999
7,10,35.094650983810425
7,12,41.98250699043274
7,16,84.11511516571045
7,20,128.77129745483398
7,25,202.2042272090912
7,32,283.89719581604004
7,40,427.49305987358093
7,50,680.2149074077606
7,64,1101.4332554340363
7,80,1512.7608931064606
7,101,2966.7416801452637
7,128,4694.1413242816925
8,2,4.702891826629639
8,3,7.015866041183472
8,4,8.496792554855347
8,5,9.90658187866211
8,6,17.428694486618042
8,8,30.90001392364502
8,10,42.70996356010437
8,12,47.63160753250122
8,16,88.08269929885864
8,20,129.04510498046875
8,25,186.43692684173584
8,32,305.0473074913025
8,40,423.6040093898773
8,50,698.949686050415
8,64,1108.5518305301666
8,80,1681.7121415138245
8,101,2701.5447010993958
8,128,4808.688829660416
9,2,4.976966857910156
9,3,6.355626821517944
9,4,9.938363790512085
9,5,12.363415002822876
9,6,18.328779697418213
9,8,21.027543306350708
9,10,37.30362582206726
9,12,57.46604609489441
9,16,82.63390493392944
9,20,124.71813321113585
9,25,194.15345907211304
9,32,257.5900275707245
9,40,388.8411240577698
9,50,638.6718201637268
9,64,1120.3230392932892
9,80,1702.7226338386536
9,101,2862.494877576828
9,128,4679.778315782547
10,2,4.49841046333313
10,3,5.986157655715942
10,4,9.124284982681274
10,5,17.02989959716797
10,6,20.391735315322876
10,8,22.126774072647095
10,10,32.72686719894409
10,12,34.973536252975464
10,16,82.61342239379883
10,20,127.95502781867981
10,25,185.9226677417755
10,32,273.859961271286
10,40,441.2608458995819
10,50,683.9447908401489
10,64,1000.2778935432433
10,80,1535.3518810272217
10,101,2923.9076869487762
10,128,4893.637399435043
11,2,5.27496337890625
11,3,6.190279483795166
11,4,8.109988927841187
11,5,13.06513786315918
11,6,19.97570252418518
11,8,26.14231848716736
11,10,37.6336030960083
11,12,53.41734743118286
11,16,88.46601271629333
11,20,134.6518156528473
11,25,191.31559944152832
11,32,295.212553024292
11,40,394.31874418258667
11,50,669.8038549423218
11,64,993.9740133285524
11,80,1753.077177286148
11,101,2711.1655383110046
11,128,4840.84992480278
12,2,5.765703916549683
12,3,6.0759117603302
12,4,9.839490413665771
12,5,13.785567045211792
12,6,18.158172607421875
12,8,26.240748167037964
12,10,35.09028887748718
12,12,52.80083417892456
12,16,72.829110622406
12,20,139.56928038597107
12,25,175.6196789741516
12,32,301.22955107688904
12,40,473.5949854850769
12,50,689.3069779872894
12,64,1015.880783557892
12,80,1793.8898589611053
12,101,2911.368173122406
12,128,5064.398732423782
13,2,3.8298466205596924
13,3,6.8722100257873535
13,4,10.345057964324951
13,5,13.379746675491333
13,6,18.571590185165405
13,8,29.813695907592773
13,10,37.842928886413574
13,12,40.54236578941345
13,16,78.31256413459778
13,20,117.38484764099121
13,25,195.91453981399536
13,32,307.2974228858948
13,40,416.5508244037628
13,50,657.1526446342468
13,64,986.0195119380951
13,80,1678.5470805168152
13,101,2825.9092669487
13,128,4805.042106628418
14,2,4.249355792999268
14,3,6.207011938095093
14,4,8.547974348068237
14,5,12.80163049697876
14,6,18.152469158172607
14,8,33.21954870223999
14,10,31.746352195739746
14,12,48.54318404197693
14,16,84.42910027503967
14,20,144.53896975517273
14,25,209.71219611167908
14,32,321.8739767074585
14,40,434.18668127059937
14,50,625.0995533466339
14,64,1116.0215423107147
14,80,1633.1050095558167
14,101,2845.5951216220856
14,128,4856.061151027679
15,2,4.445518732070923
15,3,9.312856435775757
15,4,10.033137321472168
15,5,22.252216339111328
15,6,16.262253284454346
15,8,27.968773126602173
15,10,38.2321298122406
15,12,59.38345408439636
15,16,86.10283875465393
15,20,110.00299429893494
15,25,195.0767331123352
15,32,271.0544409751892
15,40,418.7036483287811
15,50,616.3273558616638
15,64,1029.7054858207703
15,80,1585.5532236099243
15,101,2705.651230573654
15,128,4750.438478946686
16,2,3.537424325942993
16,3,5.566960573196411
16,4,9.4388906955719
16,5,16.729860544204712
16,6,18.04790234565735
16,8,31.18346333503723
16,10,30.948278665542603
16,12,63.239945888519294
16,16,61.80781579017639
16,20,108.30167651176453
16,25,183.70309734344482
16,32,283.5297646522522
16,40,426.5797383785248
16,50,684.4403080940247
16,64,1083.5572760105133
16,80,1562.0981895923615
16,101,2775.4975547790527
16,128,4814.062838077545
17,2,3.6918106079101562
17,3,8.510654926300049
17,4,11.964518547058105
17,5,14.431546211242676
17,6,16.667216777801514
17,8,20.585179805755615
17,10,32.73964190483093
17,12,44.27003312110901
17,16,87.52671599388123
17,20,135.01217007637024
17,25,187.42207837104797
17,32,309.3046524524689
17,40,446.16854882240295
17,50,665.626576423645
17,64,1028.305579662323
17,80,1589.8850920200348
17,101,2795.2466797828674
17,128,4762.890040397644
18,2,4.746764659881592
18,3,7.904439210891724
18,4,9.789860725402832
18,5,13.023488998413086
18,6,16.2110435962677
18,8,31.651800870895386
18,10,32.25339388847351
18,12,48.89907717704773
18,16,69.74557709693909
18,20,129.26262402534485
18,25,167.03126287460327
18,32,296.38726234436035
18,40,474.97873544692993
18,50,652.3425228595734
18,64,1058.3951890468597
18,80,1609.3086111545563
18,101,2753.860984802246
18,128,4961.013781309128
19,2,3.258089542388916
19,3,6.414038896560669
19,4,13.279648780822754
